Dishner,Layne,519075.31544976844,2006-11-23T07:50:14.249Z[UTC]
Williams,Beth,434103.4317549303,2014-07-24T21:02:01.848Z[UTC]
Stellhorn,Raymonde,205959.82973751583,2005-08-10T22:45:16.674Z[UTC]
Benitez,Edelmira,608038.2789012003,2012-10-01T05:03:33.786Z[UTC]
Ikerd,Garry,970175.7090631205,2004-11-15T22:26:08.942Z[UTC]
Amico,Obdulia,223850.4432760161,2010-03-11T03:50:52.317Z[UTC]
Droz,Dillon,83777.32208628382,2006-11-08T22:29:21.126Z[UTC]
Rosson,Jeanine,540072.056420938,2003-12-30T22:09:37.615Z[UTC]
Barnette,Saran,101381.50804798314,2015-04-16T07:48:23.957Z[UTC]
Wingler,Eli,152963.22750342876,2012-03-26T22:12:04.341Z[UTC]
Trinidad,Noe,826099.6444097774,2005-10-06T13:46:47.616Z[UTC]
Shilling,Silvana,571973.7411106051,2007-12-26T10:40:02.912Z[UTC]
Bradley,Brittaney,266334.2562484064,2003-11-13T08:20:01.229Z[UTC]
Blystone,Sindy,115654.77650065502,2005-02-12T23:04:41.398Z[UTC]
Goodlow,Nohemi,367738.4675449835,2015-05-22T21:37:16.118Z[UTC]
Bittner,Nadene,546951.6991779343,2004-08-26T23:14:14.454Z[UTC]
Niehaus,Allegra,954036.5244536028,2010-07-12T14:23:43.318Z[UTC]
Gaylord,Liz,256476.82843514718,2013-06-30T14:36:24.285Z[UTC]
Bass,Alena,479278.91901986545,2006-09-07T12:22:04.089Z[UTC]
Korhonen,Wilton,635129.6894031827,2003-05-02T19:02:53.880Z[UTC]
Boulden,Avery,219256.62857942685,2016-11-06T11:48:37.366Z[UTC]
Besaw,Wilfredo,241249.37764683482,2013-07-11T17:07:50.255Z[UTC]
Huwe,Beatriz,247798.17948298994,2009-12-14T23:40:44.040Z[UTC]
Nisbet,Tamala,759249.3640313678,2007-05-03T11:59:42.850Z[UTC]
Stellhorn,Velda,150876.28037108222,2006-09-01T00:50:02.494Z[UTC]
Benitez,Yael,598376.7102529759,2006-08-13T03:26:59.513Z[UTC]
Lastra,Rey,157372.6087811009,2005-07-14T01:37:28.322Z[UTC]
Lassen,Silvana,55847.45275470898,2015-04-20T09:34:53.026Z[UTC]
Raleigh,Madeleine,398596.72068494256,2013-01-07T00:08:44.551Z[UTC]
Raleigh,Karry,263916.3736624697,2008-02-09T21:05:01.245Z[UTC]
Kirkendall,Hobert,346445.4577931824,2012-05-05T04:52:13.049Z[UTC]
Blystone,Antonette,174649.67199805842,2000-03-17T19:36:17.771Z[UTC]
Rosario,Lauran,490724.2127837831,2011-12-10T19:37:32.170Z[UTC]
